Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Dog,Beagle,4,Female,19.2,Reduced Wool Production,Reduced Wool Growth,Swelling,Skin Lesions,7 days,Yes,Yes,Yes,Yes,No,No,No,No,No,38.7°C,118,Chronic Bronchitis
Horse,Morgan,4,Male,799.2,Decreased Milk Yield,Reduced Wool Production,Swollen Legs,Reduced Milk Production,10 days,No,Yes,No,Yes,No,Yes,No,Yes,Yes,39.3°C,81,Equine Influenza
Sheep,Lincoln,4,Female,115.1,Decreased Milk Yield,Reduced Mobility,Lethargy,Reduced Milk Production,8 days,Yes,No,No,Yes,Yes,No,No,No,No,38.8°C,79,Pneumonia
Dog,Bulldog,4,Male,37.2,Reduced Milk Production,Dehydration,Loss of Appetite,Swelling,7 days,Yes,No,Yes,No,No,No,No,Yes,No,38.4°C,119,Canine Parvovirus
Dog,Chihuahua,5,Female,31.8,Swollen Joints,Coughing,Weight Loss,Reduced Mobility,9 days,No,Yes,Yes,Yes,No,Yes,No,No,Yes,39.9°C,125,Parvovirus
Cat,Sphynx,7,Female,8.2,Reduced Wool Production,Dehydration,Labored Breathing,Diarrhea,9 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,40.1°C,142,Feline Infectious Peritonitis
Cat,Maine Coon,3,Female,3.0,Skin Lesions,Lameness,Reduced Wool Production,Lethargy,8 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.7°C,146,Feline Leukemia Virus
Dog,Bulldog,3,Female,33.2,Skin Lesions,Vomiting,Decreased Milk Yield,Sneezing,4 days,No,No,Yes,No,Yes,Yes,No,No,Yes,39.3°C,124,Canine Distemper
Horse,Morgan,7,Male,439.9,Sneezing,Lameness,Decreased Milk Yield,Swollen Legs,10 days,No,Yes,Yes,Yes,No,No,No,No,Yes,38.6°C,92,Equine Rhinopneumonitis
Cow,Ayrshire,4,Male,521.4,Diarrhea,Sneezing,Coughing,Reduced Wool Production,12 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,38.4°C,84,Bovine Respiratory Disease Complex
Horse,Clydesdale,8,Male,497.3,Weight Loss,Nasal Discharge,Labored Breathing,Skin Lesions,4 days,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,39.1°C,102,Laminitis
Horse,Welsh Pony,8,Female,538.7,Lethargy,Diarrhea,Swollen Legs,Skin Lesions,7 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.2°C,91,Equine Infectious Anemia
Pig,Landrace,3,Male,160.0,Reduced Appetite,Eye Discharge,Vomiting,Sneezing,9 days,Yes,No,No,No,Yes,No,Yes,No,No,38.4°C,97,Actinobacillus Pleuropneumonia
Cat,Maine Coon,5,Female,7.7,Fever,Coughing,Dehydration,Lameness,7 days,Yes,No,No,No,No,Yes,Yes,Yes,No,39.3°C,138,Feline Rhinotracheitis
Goat,Toggenburg,6,Female,93.3,Reduced Mobility,Reduced Wool Production,Loss of Appetite,Swelling,9 days,No,Yes,No,No,No,Yes,No,No,No,39.4°C,90,Pneumonia
Cow,Holstein,2,Female,461.6,Fever,Swollen Legs,Skin Lesions,Reduced Wool Production,6 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,40.0°C,76,Bovine Tuberculosis
Dog,Bulldog,3,Male,40.9,Nasal Discharge,Reduced Mobility,Lameness,Weight Loss,5 days,No,Yes,No,Yes,Yes,Yes,No,No,No,39.0°C,109,Canine Leptospirosis
Cow,Angus,5,Female,649.0,Nasal Discharge,Decreased Milk Yield,Lethargy,Reduced Wool Growth,2 days,Yes,No,No,Yes,Yes,Yes,Yes,No,No,39.7°C,85,Bovine Pneumonia
Horse,Shetland Pony,14,Male,485.9,No,Weight Loss,Reduced Wool Production,Coughing,3 days,Yes,No,Yes,Yes,Yes,No,No,No,No,39.7°C,81,Equine Osteoarthritis
Cat,Maine Coon,3,Female,3.5,Vomiting,Lethargy,Swollen Legs,Swollen Joints,7 days,Yes,No,Yes,Yes,Yes,No,No,No,Yes,40.2°C,154,Feline Coronavirus
Sheep,Corriedale,4,Male,70.1,No,Weight Loss,Diarrhea,Skin Lesions,4 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,39.4°C,70,Bluetongue
Goat,Toggenburg,6,Female,76.8,Lethargy,Appetite Loss,Coughing,Skin Lesions,2 weeks,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,40.2°C,90,Caprine Pleuropneumonia
Dog,Beagle,6,Male,3.3,Appetite Loss,Fever,Loss of Appetite,Lethargy,2 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.3°C,130,Kennel Cough
Cow,Angus,2,Male,526.2,Lethargy,Decreased Milk Yield,Fever,Swollen Legs,7 days,Yes,No,Yes,No,No,Yes,Yes,No,No,39.6°C,86,Foot and Mouth Disease
Cat,Ragdoll,5,Female,4.3,No,Vomiting,Reduced Wool Production,Weight Loss,8 days,Yes,No,No,Yes,Yes,No,No,No,Yes,38.6°C,119,Feline Calicivirus
Horse,Thoroughbred,10,Male,476.7,Reduced Wool Production,Reduced Wool Growth,Weight Loss,Skin Lesions,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,38.9°C,75,Equine Influenza
Sheep,Rambouillet,4,Female,114.3,Loss of Appetite,Labored Breathing,Reduced Mobility,Lethargy,4 days,No,No,Yes,Yes,Yes,No,No,Yes,Yes,39.2°C,77,Bluetongue
Horse,Arabian,4,Male,552.7,Swollen Legs,Loss of Appetite,Vomiting,Fever,3 days,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,39.8°C,76,Equine Influenza
Horse,Clydesdale,10,Male,589.9,Sneezing,Fever,Swelling,Lameness,10 days,Yes,No,No,No,Yes,Yes,No,Yes,Yes,39.3°C,83,Equine Influenza Virus
Cow,Charolais,4,Male,554.8,Swollen Legs,Coughing,Reduced Milk Production,Nasal Discharge,3 days,Yes,Yes,No,Yes,No,No,No,Yes,No,38.8°C,92,Bovine Parainfluenza
Pig,Large White,3,Male,96.8,Appetite Loss,Sneezing,Diarrhea,No,6 days,Yes,No,No,No,Yes,No,Yes,Yes,Yes,38.9°C,85,Porcine Reproductive and Respiratory Syndrome
Horse,Morgan,8,Female,514.7,Labored Breathing,Swollen Legs,Reduced Wool Production,No,3 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,39.8°C,93,Equine Influenza
Cat,Abyssinian,4,Male,9.3,Reduced Mobility,Eye Discharge,Labored Breathing,Reduced Milk Production,2 weeks,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,40.0°C,137,Feline Leukemia Virus
Cow,Simmental,4,Female,514.0,Dehydration,Appetite Loss,Lameness,Eye Discharge,10 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.6°C,82,Bovine Respiratory Disease
Cow,Limousin,8,Female,619.4,Diarrhea,Reduced Milk Production,Swollen Joints,Fever,1 week,Yes,No,Yes,Yes,No,Yes,No,Yes,No,39.5°C,78,Johne's Disease
Goat,Nubian,5,Male,86.2,Loss of Appetite,Swollen Legs,Reduced Mobility,Fever,5 days,Yes,Yes,No,Yes,Yes,No,No,No,No,38.7°C,85,Goat Pox
Horse,Thoroughbred,9,Female,551.3,Reduced Wool Growth,Swollen Legs,Eye Discharge,No,3 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.8°C,89,Equine Rhinopneumonitis
Horse,Arabian,5,Female,580.5,Reduced Appetite,Vomiting,Loss of Appetite,Coughing,2 weeks,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,39.3°C,98,Equine Arthritis
Dog,German Shepherd,4,Male,45.0,Swollen Legs,Reduced Appetite,Reduced Wool Growth,Eye Discharge,4 days,No,Yes,No,No,No,No,Yes,Yes,No,39.9°C,125,Canine Distemper
Sheep,Suffolk,3,Female,111.2,Vomiting,Dehydration,Appetite Loss,Nasal Discharge,5 days,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,40.2°C,85,Contagious Ecthyma
Cat,Persian,5,Male,4.8,Lameness,Dehydration,Reduced Wool Production,Appetite Loss,2 days,Yes,No,No,Yes,No,Yes,Yes,No,Yes,38.4°C,138,Feline Leukemia Virus
Dog,Chihuahua,1,Female,6.7,Swollen Legs,Swelling,Reduced Mobility,Lameness,2 weeks,Yes,No,Yes,No,No,No,No,No,No,39.1°C,114,Gastroenteritis
Cat,Scottish Fold,5,Male,5.0,Swelling,Lameness,Nasal Discharge,Skin Lesions,7 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.6°C,141,Feline Leukemia
Sheep,Karakul,5,Male,67.9,Swollen Joints,No,Weight Loss,Skin Lesions,6 days,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,38.7°C,84,Scrapie Disease
Dog,Beagle,4,Male,35.2,Swelling,Skin Lesions,Coughing,Lethargy,1 week,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.8°C,122,Parvovirus
Cow,Simmental,5,Male,543.5,Dehydration,Loss of Appetite,Lameness,Reduced Mobility,7 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,39.3°C,79,Bovine Respiratory Disease
Goat,LaMancha,5,Female,72.1,Decreased Milk Yield,Reduced Appetite,Appetite Loss,Sneezing,1 week,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,40.0°C,80,Caprine Arthritis Encephalitis
Pig,Large White,3,Male,142.0,Decreased Milk Yield,Appetite Loss,Fever,Dehydration,9 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,39.0°C,96,Porcine Reproductive and Respiratory Syndrome
Goat,Toggenburg,3,Female,78.3,Diarrhea,Swollen Legs,Reduced Mobility,Skin Lesions,2 weeks,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,38.9°C,91,Caprine Respiratory Disease
Rabbit,English Angora,2,Female,2.1,Reduced Milk Production,Fever,Sneezing,Reduced Wool Production,2 weeks,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,40.2°C,140,Pasteurellosis
Pig,Berkshire,4,Female,113.5,Skin Lesions,Reduced Wool Production,Loss of Appetite,Diarrhea,10 days,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,40.0°C,110,Porcine Circovirus Disease
Rabbit,Mini Lop,1,Male,1.6,Nasal Discharge,Reduced Wool Production,Swollen Joints,No,8 days,No,Yes,No,Yes,No,No,No,No,Yes,40.1°C,157,Snuffles
Goat,Nubian,6,Male,56.2,Dehydration,Labored Breathing,Decreased Milk Yield,Reduced Wool Production,2 weeks,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,39.4°C,87,Caprine Arthritis
Horse,Clydesdale,4,Male,488.9,Appetite Loss,Loss of Appetite,Weight Loss,Skin Lesions,1 week,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38.5°C,92,Equine Metabolic Syndrome
Dog,Golden Retriever,5,Male,25.0,Swollen Legs,Dehydration,Decreased Milk Yield,Sneezing,8 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.7°C,115,Bordetella Infection
Horse,Clydesdale,13,Female,661.5,Reduced Wool Growth,Decreased Milk Yield,Coughing,Labored Breathing,8 days,Yes,No,No,Yes,Yes,Yes,No,No,Yes,39.7°C,86,Equine Pneumonia
Cat,Siamese,3,Male,3.0,Swelling,Sneezing,Appetite Loss,Nasal Discharge,2 days,Yes,No,No,No,No,Yes,No,Yes,No,39.1°C,147,Feline Asthma
Goat,Saanen,2,Male,86.4,Reduced Mobility,Vomiting,No,Lameness,7 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.8°C,81,Caprine Pleuropneumonia
Cow,Jersey,7,Male,563.1,Skin Lesions,Lameness,Vomiting,Sneezing,1 week,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,38.9°C,86,Bovine Tuberculosis
Pig,Large White,4,Female,125.4,Sneezing,Decreased Milk Yield,No,Dehydration,6 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,40.2°C,80,Swine Fever
Dog,German Shepherd,5,Female,20.0,Fever,Dehydration,Skin Lesions,No,4 days,Yes,Yes,Yes,No,No,No,Yes,No,No,38.9°C,122,Parvovirus
Horse,Standardbred,14,Female,675.5,Fever,Lethargy,Lameness,Eye Discharge,5 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,39.7°C,79,Equine Influenza
Horse,Appaloosa,8,Female,647.9,Reduced Milk Production,Weight Loss,Decreased Milk Yield,Dehydration,12 days,No,Yes,No,No,No,No,No,Yes,Yes,39.0°C,76,Equine Leptospirosis
Sheep,Dorper,3,Female,111.7,Reduced Mobility,Eye Discharge,Fever,Reduced Wool Growth,6 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,39.2°C,76,Bluetongue Virus
Horse,Thoroughbred,11,Male,700.3,Appetite Loss,Reduced Appetite,Decreased Milk Yield,Labored Breathing,9 days,Yes,No,No,No,Yes,No,Yes,Yes,Yes,39.6°C,101,Equine Protozoal Myeloencephalitis
Goat,Boer,2,Male,96.5,Sneezing,Skin Lesions,Nasal Discharge,Reduced Wool Production,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.5°C,83,Caprine Pleuropneumonia
Pig,Large White,6,Male,134.6,Reduced Appetite,Reduced Mobility,Lethargy,Weight Loss,4 days,Yes,Yes,Yes,No,No,No,No,No,No,40.2°C,94,Porcine Respiratory Disease Complex
Cow,Hereford,6,Female,600.5,Coughing,Fever,Lethargy,Dehydration,2 weeks,Yes,No,No,Yes,Yes,Yes,No,No,No,39.1°C,79,Salmonellosis
Sheep,Merino,6,Female,82.3,Skin Lesions,Reduced Mobility,Lethargy,Decreased Milk Yield,7 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,39.0°C,78,Blue Tongue Virus
Cow,Holstein,6,Male,622.5,Sneezing,Reduced Wool Growth,Labored Breathing,Dehydration,7 days,Yes,Yes,No,Yes,No,No,No,Yes,Yes,39.2°C,86,Bovine Viral Diarrhea
Pig,Tamworth,4,Male,95.0,Coughing,Reduced Mobility,Fever,Weight Loss,1 week,No,No,Yes,No,Yes,Yes,Yes,No,No,39.9°C,88,Swine Influenza
Pig,Tamworth,5,Female,124.0,Swelling,Weight Loss,Reduced Wool Production,Swollen Legs,2 weeks,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.7°C,90,Swine Flu
Pig,Tamworth,3,Female,103.4,Reduced Wool Production,Sneezing,Diarrhea,Swelling,9 days,Yes,Yes,No,Yes,No,Yes,No,No,No,38.6°C,80,Porcine Epidemic Diarrhea
Pig,Landrace,4,Male,141.3,No,Nasal Discharge,Reduced Milk Production,Vomiting,5 days,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,39.7°C,85,Actinobacillus Pleuropneumonia
Dog,Bulldog,6,Male,31.4,Eye Discharge,Loss of Appetite,Dehydration,Reduced Appetite,1 week,Yes,Yes,No,Yes,No,Yes,No,No,No,38.4°C,125,Kennel Cough
Cow,Simmental,4,Female,508.1,Nasal Discharge,Reduced Mobility,Decreased Milk Yield,Reduced Milk Production,7 days,No,No,Yes,No,Yes,No,No,Yes,No,39.5°C,83,Bovine Respiratory Disease
Rabbit,Holland Lop,4,Female,2.6,Reduced Milk Production,Fever,Reduced Wool Growth,Vomiting,4 days,Yes,Yes,No,No,No,Yes,No,Yes,No,38.5°C,165,Rabbit Viral Hemorrhagic Disease
Goat,Nubian,2,Female,98.8,Eye Discharge,Swelling,Fever,Reduced Wool Production,2 weeks,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,40.1°C,84,Caprine Arthritis Encephalitis
Cow,Holstein,4,Male,581.8,Reduced Milk Production,Dehydration,Decreased Milk Yield,Reduced Wool Production,9 days,Yes,Yes,Yes,Yes,No,Yes,No,No,No,39.8°C,70,Mastitis
Sheep,Rambouillet,3,Male,115.4,Decreased Milk Yield,Loss of Appetite,Reduced Wool Production,Eye Discharge,10 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.5°C,79,Scrapie
Dog,German Shepherd,1,Female,22.0,Reduced Mobility,Diarrhea,Vomiting,No,12 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,39.2°C,130,Canine Parvovirus
Dog,Labrador,5,Female,2.0,Swollen Joints,Reduced Milk Production,Sneezing,Labored Breathing,1 week,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,40.0°C,125,Canine Distemper
Rabbit,Mini Rex,2,Male,2.1,Loss of Appetite,Lethargy,Reduced Milk Production,Reduced Appetite,1 week,Yes,No,Yes,No,Yes,Yes,No,No,No,40.2°C,129,Snuffles
Goat,Nubian,5,Female,59.8,Reduced Appetite,Swelling,Nasal Discharge,Coughing,6 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,39.1°C,80,Caprine Pleuropneumonia
Cat,Russian Blue,1,Male,6.9,No,Weight Loss,Swollen Joints,Swollen Legs,2 weeks,No,Yes,No,No,No,Yes,No,Yes,Yes,40.1°C,142,Feline Infectious Peritonitis
Dog,Cocker Spaniel,3,Female,22.2,Vomiting,Reduced Milk Production,Decreased Milk Yield,Reduced Appetite,3 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,39.8°C,127,Canine Hepatitis
Pig,Landrace,6,Male,106.5,Lameness,Swelling,Labored Breathing,Dehydration,1 week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,38.7°C,81,Porcine Epidemic Diarrhea Virus
Horse,Arabian,11,Male,603.3,Reduced Appetite,Nasal Discharge,Diarrhea,Reduced Wool Production,2 weeks,Yes,No,No,Yes,Yes,No,Yes,Yes,No,39.5°C,116,Equine Laminitis
Dog,Rottweiler,5,Male,2.0,Swollen Legs,Loss of Appetite,Weight Loss,Lethargy,1 week,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,38.5°C,121,Gastroenteritis
Dog,Bulldog,2,Female,17.4,Eye Discharge,Coughing,Nasal Discharge,Loss of Appetite,12 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,38.9°C,112,Pancreatitis
Cow,Charolais,5,Male,668.0,Reduced Wool Production,Skin Lesions,Swollen Legs,Labored Breathing,5 days,Yes,Yes,No,No,No,No,No,Yes,Yes,38.5°C,80,Bovine Tuberculosis
Sheep,Rambouillet,3,Male,90.1,Sneezing,Labored Breathing,Fever,Eye Discharge,8 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,39.7°C,77,Foot-and-Mouth Disease
Goat,Saanen,3,Female,75.5,Diarrhea,Fever,Nasal Discharge,No,1 week,Yes,No,Yes,No,No,Yes,Yes,No,Yes,39.5°C,85,Caprine Arthritis Encephalitis
Horse,Arabian,14,Female,579.2,Dehydration,Reduced Wool Growth,Lethargy,Swollen Legs,9 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,40.0°C,81,Equine Influenza
Goat,Saanen,2,Male,75.6,Reduced Milk Production,Sneezing,No,Fever,2 days,No,Yes,No,No,Yes,Yes,No,No,Yes,39.4°C,84,Caprine Pleuropneumonia
Cat,Burmese,3,Male,5.5,Loss of Appetite,Lameness,Swelling,Lethargy,8 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,40.0°C,147,Feline Infectious Peritonitis
Dog,Labrador Retriever,5,Female,19.1,Decreased Milk Yield,Fever,Reduced Wool Production,Lameness,2 days,Yes,No,Yes,Yes,Yes,Yes,No,No,No,39.6°C,127,Canine Infectious Hepatitis
Cow,Limousin,2,Male,646.1,Swollen Joints,Swelling,Sneezing,Weight Loss,10 days,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,38.6°C,84,Mastitis
Horse,Appaloosa,8,Female,614.2,Coughing,Swollen Joints,Reduced Milk Production,Lethargy,8 days,Yes,Yes,Yes,Yes,No,No,No,No,Yes,39.7°C,82,West Nile Virus
Cow,Red Poll,4,Male,704.2,Eye Discharge,Lameness,Vomiting,Lethargy,6 days,Yes,Yes,Yes,Yes,No,No,No,Yes,No,39.9°C,88,Bovine Johne's Disease
Pig,Tamworth,5,Female,103.8,Appetite Loss,Reduced Mobility,Lethargy,Nasal Discharge,6 days,Yes,Yes,No,No,Yes,No,Yes,No,Yes,40.0°C,90,Swine Flu
Cow,Angus,3,Male,630.0,Reduced Wool Production,Eye Discharge,Swelling,Decreased Milk Yield,1 week,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.3°C,80,Bovine Johne's Disease
Horse,Clydesdale,14,Female,522.1,Reduced Wool Growth,Lethargy,Lameness,Weight Loss,10 days,Yes,No,Yes,No,No,Yes,Yes,No,Yes,39.4°C,72,Equine Rhinopneumonitis
Rabbit,Himalayan,3,Female,2.4,Coughing,Reduced Mobility,Lameness,Labored Breathing,2 weeks,Yes,Yes,No,Yes,Yes,Yes,No,No,No,39.7°C,155,Myxomatosis
Dog,Beagle,6,Male,21.2,Sneezing,Reduced Appetite,No,Lethargy,7 days,Yes,Yes,Yes,Yes,No,Yes,No,No,No,39.7°C,113,Canine Distemper
Cat,Siberian,4,Male,5.6,Nasal Discharge,Reduced Appetite,Loss of Appetite,Sneezing,2 weeks,Yes,No,Yes,Yes,No,No,Yes,No,No,39.6°C,143,Feline Chlamydia
Cow,Brown Swiss,8,Male,523.7,Reduced Milk Production,Weight Loss,Eye Discharge,Sneezing,7 days,Yes,No,No,Yes,No,No,No,Yes,Yes,40.2°C,75,Bovine Tuberculosis
Sheep,Suffolk,6,Male,132.4,Coughing,Sneezing,Swollen Joints,Labored Breathing,6 days,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,39.2°C,70,Contagious Ecthyma
Rabbit,Himalayan,1,Male,1.0,Reduced Mobility,Vomiting,Reduced Appetite,Lameness,4 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,39.5°C,129,Myxomatosis
Horse,Clydesdale,10,Female,588.7,Appetite Loss,Labored Breathing,Weight Loss,Diarrhea,4 days,No,Yes,No,Yes,No,No,Yes,Yes,Yes,38.6°C,101,Equine Influenza
Horse,Thoroughbred,12,Female,569.5,Lethargy,Reduced Milk Production,Sneezing,Dehydration,4 days,Yes,Yes,Yes,Yes,No,No,No,No,No,38.8°C,84,Laminitis
Cat,Bengal,3,Male,6.5,Skin Lesions,Weight Loss,Sneezing,Appetite Loss,8 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.4°C,144,Feline Immunodeficiency Virus
Cat,Bengal,5,Female,6.4,Labored Breathing,Vomiting,Coughing,Diarrhea,2 weeks,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.0°C,160,Feline Calicivirus
Cat,Abyssinian,5,Male,7.0,Labored Breathing,Weight Loss,Swelling,No,5 days,Yes,Yes,No,No,No,No,Yes,No,No,39.7°C,137,Feline Infectious Peritonitis
Pig,Chester White,3,Male,130.5,Dehydration,No,Lethargy,Labored Breathing,5 days,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,38.8°C,99,Porcine Respiratory Disease Complex
Rabbit,Holland Lop,1,Male,2.6,Reduced Wool Production,Vomiting,Reduced Appetite,Reduced Wool Growth,6 days,Yes,Yes,No,Yes,Yes,No,No,No,No,39.7°C,135,Snuffles
Rabbit,Himalayan,2,Male,3.1,Weight Loss,Eye Discharge,Reduced Wool Growth,Nasal Discharge,2 days,Yes,No,No,Yes,No,No,No,No,No,39.1°C,154,Rabbit Viral Hemorrhagic Disease
Rabbit,Himalayan,2,Male,1.8,Swelling,Reduced Wool Growth,Fever,Reduced Milk Production,6 days,Yes,No,No,Yes,No,Yes,No,Yes,Yes,38.8°C,142,Enteritis
Horse,Morgan,7,Female,563.1,Swollen Joints,Swelling,Vomiting,Appetite Loss,1 week,Yes,Yes,No,Yes,Yes,No,No,No,No,40.0°C,80,Equine Influenza
Rabbit,English Spot,2,Male,1.0,Reduced Wool Growth,Skin Lesions,Labored Breathing,Appetite Loss,9 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,39.8°C,131,Pasteurellosis
Dog,Rottweiler,4,Male,31.7,Lethargy,No,Fever,Skin Lesions,2 weeks,Yes,Yes,No,No,Yes,No,Yes,No,Yes,39.0°C,118,Distemper
Horse,Shetland Pony,6,Female,595.8,Decreased Milk Yield,Labored Breathing,Skin Lesions,Swollen Joints,9 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.4°C,81,Equine Herpesvirus
Cat,Sphynx,6,Female,5.8,Reduced Mobility,Appetite Loss,Fever,Labored Breathing,4 days,Yes,Yes,No,No,Yes,Yes,No,No,Yes,39.5°C,131,Panleukopenia
Horse,Standardbred,11,Female,537.5,Labored Breathing,Swelling,Nasal Discharge,Loss of Appetite,2 days,No,Yes,No,Yes,No,Yes,Yes,Yes,No,38.4°C,92,Equine Influenza
Cat,Bengal,1,Female,4.7,Reduced Appetite,Fever,Eye Discharge,Skin Lesions,2 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,38.4°C,145,Inflammatory Bowel Disease
Dog,Beagle,3,Male,9.6,Lameness,Labored Breathing,Nasal Discharge,Diarrhea,7 days,Yes,No,No,Yes,Yes,Yes,No,No,No,40.1°C,126,Canine Leptospirosis
Goat,Boer,6,Male,74.5,Lethargy,Coughing,Reduced Wool Production,Eye Discharge,5 days,Yes,No,No,Yes,No,Yes,Yes,No,No,39.1°C,89,Foot-and-Mouth Disease
Goat,Toggenburg,4,Male,62.2,Swollen Legs,Reduced Milk Production,Labored Breathing,Lethargy,10 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,40.2°C,84,Caprine Pleuropneumonia
Dog,Golden Retriever,4,Female,16.3,Swollen Legs,Lethargy,Reduced Wool Growth,Swollen Joints,6 days,Yes,Yes,Yes,No,No,No,No,No,Yes,39.4°C,119,Canine Parvovirus
Cow,Angus,3,Male,581.8,Reduced Wool Growth,Labored Breathing,Sneezing,Appetite Loss,10 days,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,39.2°C,74,Mastitis
Cow,Ayrshire,5,Female,693.3,Sneezing,Nasal Discharge,Lameness,Loss of Appetite,2 weeks,Yes,Yes,Yes,Yes,No,No,Yes,No,No,39.8°C,97,Bovine Respiratory Disease Complex
Horse,Welsh Pony,8,Male,422.5,Skin Lesions,Swollen Joints,Reduced Appetite,Loss of Appetite,2 weeks,No,No,No,Yes,Yes,No,Yes,No,Yes,38.6°C,101,Equine Herpesvirus
Dog,Golden Retriever,2,Female,17.9,Diarrhea,Reduced Milk Production,Sneezing,Eye Discharge,7 days,Yes,No,Yes,No,Yes,Yes,Yes,No,No,40.1°C,125,Canine Cough
Horse,Morgan,13,Male,382.4,Reduced Appetite,Lameness,Lethargy,Swollen Joints,4 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,39.3°C,108,Equine Herpesvirus
Cat,Persian,4,Female,5.3,Swollen Joints,Diarrhea,Skin Lesions,Sneezing,10 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,38.9°C,147,Feline Calicivirus
Cat,Persian,4,Female,4.0,Fever,Reduced Appetite,Reduced Wool Production,Lameness,10 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.2°C,138,Feline Leukemia Virus
Sheep,Suffolk,6,Male,96.2,Diarrhea,Reduced Mobility,Dehydration,Reduced Wool Production,2 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,38.7°C,76,Scrapie
Pig,Landrace,4,Female,140.7,Coughing,Reduced Mobility,Decreased Milk Yield,No,2 weeks,No,Yes,No,Yes,No,Yes,No,No,Yes,38.4°C,99,Porcine Reproductive and Respiratory Syndrome
